Key,File,Type,UsedInMainMenu,NoTranslate,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
qlSettingQuickLootNativeSyncPatchStatus,UI,Menu,,,Native Sync Patch,Native Sync-Patch,Parche de sincronización nativo,Patch de synchronisation natif,Patch sync nativa,ネイティブ同期パッチ,네이티브 동기화 패치,Natywna łatka synchronizacji,Patch de sincronização nativo,Встроенный патч синхронизации,Yerel Eşitleme Yaması,原生同步补丁,原生同步修補
qlSettingQuickLootNativeSyncPatchStatusTooltip,UI,Menu,,,Shows whether QuickLoot's own StorageSync-style read patch is active,"Zeigt, ob QuickLoots eigener StorageSync-artiger Lese-Patch aktiv ist",Muestra si el parche de lectura tipo StorageSync de QuickLoot está activo,Indique si le patch de lecture type StorageSync de QuickLoot est actif,Mostra se la patch di lettura in stile StorageSync di QuickLoot è attiva,QuickLoot独自のStorageSync風読み取りパッチが有効かを表示,QuickLoot 자체 StorageSync 방식 읽기 패치가 활성화되었는지 표시,"Pokazuje, czy własna łatka odczytu QuickLoot w stylu StorageSync jest aktywna",Mostra se o patch de leitura estilo StorageSync do QuickLoot está ativo,"Показывает, активен ли собственный патч чтения QuickLoot в стиле StorageSync",QuickLoot'un kendi StorageSync tarzı okuma yamasının aktif olup olmadığını gösterir,显示 QuickLoot 自带的 StorageSync 风格读取补丁是否启用,顯示 QuickLoot 內建的 StorageSync 風格讀取修補是否啟用
qlSettingStorageSyncCompatibilityModeStatus,UI,Menu,,,Compatibility Mode,Kompatibilitätsmodus,Modo de compatibilidad,Mode de compatibilité,Modalità compatibilità,互換モード,호환성 모드,Tryb zgodności,Modo de compatibilidade,Режим совместимости,Uyumluluk Modu,兼容模式,相容模式
qlSettingStorageSyncCompatibilityModeStatusTooltip,UI,Menu,,,Shows the internal StorageSync compatibility mode. This is status only,Zeigt den internen StorageSync-Kompatibilitätsmodus. Nur Status,Muestra el modo interno de compatibilidad con StorageSync. Solo estado,Affiche le mode interne de compatibilité StorageSync. Statut uniquement,Mostra la modalità interna di compatibilità StorageSync. Solo stato,内部StorageSync互換モードを表示します。ステータスのみ,내부 StorageSync 호환성 모드를 표시합니다. 상태 전용,Pokazuje wewnętrzny tryb zgodności StorageSync. Tylko status,Mostra o modo interno de compatibilidade com StorageSync. Apenas status,Показывает внутренний режим совместимости StorageSync. Только статус,İç StorageSync uyumluluk modunu gösterir. Bu sadece durum bilgisidir,显示内部 StorageSync 兼容模式。仅状态,顯示內部 StorageSync 相容模式。僅狀態
qlSettingQuartzDetectedStatus,UI,Menu,,,Quartz UI Framework,Quartz UI Framework,Framework de interfaz Quartz,Framework UI Quartz,Framework UI Quartz,Quartz UI Framework,Quartz UI 프레임워크,Framework UI Quartz,Framework de UI Quartz,UI-фреймворк Quartz,Quartz UI Framework,Quartz UI 框架,Quartz UI 框架
qlSettingQuartzDetectedStatusTooltip,UI,Menu,,,Shows whether Quartz is loaded in the current game,"Zeigt, ob Quartz im aktuellen Spiel geladen ist",Muestra si Quartz está cargado en la partida actual,Indique si Quartz est chargé dans la partie actuelle,Mostra se Quartz è caricato nella partita corrente,現在のゲームでQuartzが読み込まれているかを表示,현재 게임에 Quartz가 로드되었는지 표시,"Pokazuje, czy Quartz jest załadowany w bieżącej grze",Mostra se Quartz está carregado no jogo atual,"Показывает, загружен ли Quartz в текущей игре",Quartz'ın mevcut oyunda yüklü olup olmadığını gösterir,显示当前游戏是否加载 Quartz,顯示目前遊戲是否載入 Quartz
qlSettingPackWiselyDetectedStatus,UI,Menu,,,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely,PackWisely
qlSettingPackWiselyDetectedStatusTooltip,UI,Menu,,,Shows whether PackWisely pouch routing is loaded in the current game,"Zeigt, ob PackWisely-Beutelrouting im aktuellen Spiel geladen ist",Muestra si el enrutamiento de bolsas de PackWisely está cargado,Indique si le routage des pochettes PackWisely est chargé,Mostra se il routing delle borse PackWisely è caricato,現在のゲームでPackWiselyポーチルーティングが読み込まれているかを表示,현재 게임에 PackWisely 파우치 라우팅이 로드되었는지 표시,"Pokazuje, czy routing sakw PackWisely jest załadowany",Mostra se o roteamento de bolsas do PackWisely está carregado,"Показывает, загружена ли маршрутизация подсумков PackWisely",PackWisely kese yönlendirmesinin mevcut oyunda yüklü olup olmadığını gösterir,显示当前游戏是否加载 PackWisely 袋包路由,顯示目前遊戲是否載入 PackWisely 袋包路由
qlSettingMountedLootingDetectedStatus,UI,Menu,,,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting,GBZ Mounted Looting
qlSettingMountedLootingDetectedStatusTooltip,UI,Menu,,,Shows whether QuickLoot compatibility with GBZ Mounted Looting is fully active,"Zeigt, ob die QuickLoot-Kompatibilität mit GBZ Mounted Looting vollständig aktiv ist",Muestra si la compatibilidad de QuickLoot con GBZ Mounted Looting está completamente activa,Indique si la compatibilité de QuickLoot avec GBZ Mounted Looting est entièrement active,Mostra se la compatibilità di QuickLoot con GBZ Mounted Looting è completamente attiva,GBZ Mounted Looting との QuickLoot 互換性が完全に有効かを表示,GBZ Mounted Looting과의 QuickLoot 호환성이 완전히 활성화되었는지 표시,"Pokazuje, czy zgodność QuickLoot z GBZ Mounted Looting jest w pełni aktywna",Mostra se a compatibilidade do QuickLoot com GBZ Mounted Looting está totalmente ativa,"Показывает, полностью ли активна совместимость QuickLoot с GBZ Mounted Looting",QuickLoot'un GBZ Mounted Looting uyumluluğunun tamamen etkin olup olmadığını gösterir,显示 QuickLoot 与 GBZ Mounted Looting 的兼容功能是否完全启用,顯示 QuickLoot 與 GBZ Mounted Looting 的相容功能是否完全啟用
qlSettingCatUiDetectedStatus,UI,Menu,,,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI,CATUI
qlSettingCatUiDetectedStatusTooltip,UI,Menu,,,Shows whether CATUI colors were detected,"Zeigt, ob CATUI-Farben erkannt wurden",Muestra si se detectaron colores de CATUI,Indique si les couleurs CATUI ont été détectées,Mostra se sono stati rilevati i colori CATUI,CATUIカラーが検出されたかを表示,CATUI 색상이 감지되었는지 표시,"Pokazuje, czy wykryto kolory CATUI",Mostra se as cores do CATUI foram detectadas,"Показывает, обнаружены ли цвета CATUI",CATUI renklerinin algılanıp algılanmadığını gösterir,显示是否检测到 CATUI 颜色,顯示是否偵測到 CATUI 顏色
qlSettingSteelUiDetectedStatus,UI,Menu,,,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI,SteelUI
qlSettingSteelUiDetectedStatusTooltip,UI,Menu,,,Shows whether SteelUI colors were detected,"Zeigt, ob SteelUI-Farben erkannt wurden",Muestra si se detectaron colores de SteelUI,Indique si les couleurs SteelUI ont été détectées,Mostra se sono stati rilevati i colori SteelUI,SteelUIカラーが検出されたかを表示,SteelUI 색상이 감지되었는지 표시,"Pokazuje, czy wykryto kolory SteelUI",Mostra se as cores do SteelUI foram detectadas,"Показывает, обнаружены ли цвета SteelUI",SteelUI renklerinin algılanıp algılanmadığını gösterir,显示是否检测到 SteelUI 颜色,顯示是否偵測到 SteelUI 顏色
qlSettingQuickLootThemeStatus,UI,Menu,,,QuickLoot Theme,QuickLoot-Design,Tema de QuickLoot,Thème QuickLoot,Tema QuickLoot,QuickLootテーマ,QuickLoot 테마,Motyw QuickLoot,Tema do QuickLoot,Тема QuickLoot,QuickLoot Teması,QuickLoot 主题,QuickLoot 主題
qlSettingQuickLootThemeStatusTooltip,UI,Menu,,,Shows the active QuickLoot color mode,Zeigt den aktiven QuickLoot-Farbmodus,Muestra el modo de color activo de QuickLoot,Affiche le mode de couleur QuickLoot actif,Mostra la modalità colore QuickLoot attiva,有効なQuickLootカラーモードを表示,활성 QuickLoot 색상 모드 표시,Pokazuje aktywny tryb kolorów QuickLoot,Mostra o modo de cor ativo do QuickLoot,Показывает активный цветовой режим QuickLoot,Aktif QuickLoot renk modunu gösterir,显示当前 QuickLoot 颜色模式,顯示目前 QuickLoot 色彩模式
qlSettingQuickLootUiPatchStatus,UI,Menu,,,QuickLoot UI Mode,QuickLoot-UI-Modus,Modo de interfaz de QuickLoot,Mode d’interface QuickLoot,Modalità UI QuickLoot,QuickLoot UIモード,QuickLoot UI 모드,Tryb UI QuickLoot,Modo de UI do QuickLoot,Режим интерфейса QuickLoot,QuickLoot UI Modu,QuickLoot 界面模式,QuickLoot 介面模式
qlSettingQuickLootUiPatchStatusTooltip,UI,Menu,,,Shows whether QuickLoot is using its native Quartz scrollview panel,"Zeigt, ob QuickLoot sein natives Quartz-Scrollview-Panel verwendet",Muestra si QuickLoot usa su panel nativo Quartz con desplazamiento,Indique si QuickLoot utilise son panneau natif Quartz à défilement,Mostra se QuickLoot usa il suo pannello nativo Quartz scrollview,QuickLootがネイティブQuartzスクロールビューパネルを使っているかを表示,QuickLoot이 네이티브 Quartz 스크롤뷰 패널을 사용하는지 표시,"Pokazuje, czy QuickLoot używa natywnego panelu przewijania Quartz",Mostra se QuickLoot está usando seu painel de rolagem nativo Quartz,"Показывает, использует ли QuickLoot свою нативную панель прокрутки Quartz",QuickLoot'un doğal Quartz kaydırmalı panelini kullanıp kullanmadığını gösterir,显示 QuickLoot 是否使用原生 Quartz 滚动面板,顯示 QuickLoot 是否使用原生 Quartz 捲動面板
qlSettingPanelOffsetX,UI,Menu,,,Panel X Position,Panel-X-Position,Posición X del panel,Position X du panneau,Posizione X pannello,パネルX位置,패널 X 위치,Pozycja X panelu,Posição X do painel,Позиция панели X,Panel X Konumu,面板 X 位置,面板 X 位置
qlSettingPanelOffsetXTooltip,UI,Menu,,,Live horizontal QuickLoot panel offset from screen center,Live-horizontaler QuickLoot-Panelversatz zur Bildschirmmitte,Desplazamiento horizontal en vivo del panel QuickLoot desde el centro,Décalage horizontal en direct du panneau QuickLoot depuis le centre de l’écran,Offset orizzontale live del pannello QuickLoot dal centro dello schermo,画面中央からのQuickLootパネル水平オフセット,화면 중앙 기준 QuickLoot 패널 가로 오프셋,Poziome przesunięcie panelu QuickLoot względem środka ekranu,Deslocamento horizontal ao vivo do painel QuickLoot a partir do centro,Горизонтальное смещение панели QuickLoot от центра экрана,Ekran merkezine göre QuickLoot panelinin canlı yatay konumu,QuickLoot 面板相对屏幕中心的实时水平偏移,QuickLoot 面板相對螢幕中心的即時水平偏移
qlSettingPanelOffsetY,UI,Menu,,,Panel Y Position,Panel-Y-Position,Posición Y del panel,Position Y du panneau,Posizione Y pannello,パネルY位置,패널 Y 위치,Pozycja Y panelu,Posição Y do painel,Позиция панели Y,Panel Y Konumu,面板 Y 位置,面板 Y 位置
qlSettingPanelOffsetYTooltip,UI,Menu,,,Live vertical QuickLoot panel offset from screen center,Live-vertikaler QuickLoot-Panelversatz zur Bildschirmmitte,Desplazamiento vertical en vivo del panel QuickLoot desde el centro,Décalage vertical en direct du panneau QuickLoot depuis le centre de l’écran,Offset verticale live del pannello QuickLoot dal centro dello schermo,画面中央からのQuickLootパネル垂直オフセット,화면 중앙 기준 QuickLoot 패널 세로 오프셋,Pionowe przesunięcie panelu QuickLoot względem środka ekranu,Deslocamento vertical ao vivo do painel QuickLoot a partir do centro,Вертикальное смещение панели QuickLoot от центра экрана,Ekran merkezine göre QuickLoot panelinin canlı dikey konumu,QuickLoot 面板相对屏幕中心的实时垂直偏移,QuickLoot 面板相對螢幕中心的即時垂直偏移
qlSettingsCategoryAccessSafety,UI,Menu,,,Access & Safety,Zugriff & Sicherheit,Acceso y seguridad,Accès et sécurité,Accesso e sicurezza,アクセスと安全,접근 및 안전,Dostęp i bezpieczeństwo,Acesso e segurança,Доступ и безопасность,Erişim ve Güvenlik,访问与安全,存取與安全
qlSettingsCategoryAccessSafetyTooltip,UI,Menu,,,Controls where QuickLoot is allowed to work,"Legt fest, wo QuickLoot arbeiten darf",Controla dónde puede funcionar QuickLoot,Détermine où QuickLoot est autorisé à fonctionner,Controlla dove QuickLoot può funzionare,QuickLootが動作できる場所を制御,QuickLoot이 작동할 수 있는 위치 제어,"Określa, gdzie QuickLoot może działać",Controla onde QuickLoot pode funcionar,"Определяет, где QuickLoot может работать",QuickLoot'un nerelerde çalışabileceğini belirler,控制 QuickLoot 可在哪些位置工作,控制 QuickLoot 可在哪些位置運作
qlSettingAllowTraderAreaQuickLoot,UI,Menu,,,Trader Area Loot,Händlergebiets-Beute,Botín en zona de comerciante,Butin en zone de marchand,Bottino area commerciante,トレーダーエリアのルート,상인 구역 전리품,Łup w obszarze handlarza,Saque em área de comerciante,Лут в зоне торговца,Tüccar Bölgesi Ganimeti,商人区域搜刮,商人區域搜刮
qlSettingAllowTraderAreaQuickLootTooltip,UI,Menu,,,Allow QuickLoot on loot containers inside trader protected areas,QuickLoot für Beutebehälter in geschützten Händlergebieten erlauben,Permite QuickLoot en contenedores de botín dentro de zonas protegidas de comerciante,Autorise QuickLoot sur les conteneurs de butin dans les zones protégées des marchands,Consenti QuickLoot sui contenitori di bottino nelle aree protette del commerciante,トレーダー保護エリア内のルートコンテナでQuickLootを許可,상인 보호 구역 안의 전리품 컨테이너에 QuickLoot 허용,Pozwala używać QuickLoot na pojemnikach z łupem w chronionych obszarach handlarza,Permite QuickLoot em contêineres de saque dentro de áreas protegidas do comerciante,Разрешает QuickLoot для контейнеров с лутом в защищённых зонах торговца,Tüccar koruma alanlarındaki ganimet konteynerlerinde QuickLoot kullan,允许在商人保护区内的搜刮容器上使用 QuickLoot,允許在商人保護區內的搜刮容器上使用 QuickLoot
qlSettingAllowLandClaimStorage,UI,Menu,,,Land-Claimed Storage,Landclaim-Lager,Almacén en reclamación,Stockage en revendication,Deposito in land claim,土地保護内ストレージ,토지 클레임 보관함,Magazyn na claimie,Armazenamento em reivindicação,Хранилище в клейме,Claimli Depolar,领地内储物,領地內儲物
qlSettingAllowLandClaimStorageTooltip,UI,Menu,,,Allow QuickLoot inside land-claimed areas. Off by default,QuickLoot in Landclaim-Gebieten erlauben. Standardmäßig aus,Permite QuickLoot dentro de zonas reclamadas. Desactivado por defecto,Autorise QuickLoot dans les zones revendiquées. Désactivé par défaut,Consenti QuickLoot nelle aree in land claim. Disattivo per impostazione predefinita,土地保護エリア内でQuickLootを許可。初期設定はオフ,토지 클레임 구역 안에서 QuickLoot 허용. 기본값 꺼짐,Pozwala używać QuickLoot na obszarach claimu. Domyślnie wyłączone,Permite QuickLoot dentro de áreas reivindicadas. Desativado por padrão,Разрешает QuickLoot в зонах земельного клейма. По умолчанию отключено,Claim alanlarında QuickLoot kullan. Varsayılan kapalı,允许在领地区域内使用 QuickLoot。默认关闭,允許在領地區域內使用 QuickLoot。預設關閉
qlUiHintAltWheel,UI,Menu,,,Alt+Wheel,Alt+Rad,Alt+rueda,Alt+molette,Alt+rotellina,Alt+ホイール,Alt+휠,Alt+kółko,Alt+roda,Alt+колесо,Alt+Teker,Alt+滚轮,Alt+滾輪
qlUiHintFallback,UI,Menu,,,Fallback,Fallback,Alternativa,Secours,Riserva,代替,대체,Zapasowe,Alternativo,Запасной,Yedek,备用,備用
qlSettingQuickLootModifier,UI,Menu,,,Modifier,Modifikator,Modificador,Modificateur,Modificatore,修飾キー,보조 키,Modyfikator,Modificador,Модификатор,Değiştirici,修饰键,輔助鍵
qlSettingQuickLootModifierTooltip,UI,Menu,,,"Hold this modifier while QuickLoot is open, then press an action key",Diesen Modifikator bei geöffnetem QuickLoot halten und dann eine Aktionstaste drücken,Mantén este modificador mientras QuickLoot está abierto y pulsa una tecla de acción,"Maintenez ce modificateur quand QuickLoot est ouvert, puis appuyez sur une touche d’action","Tieni premuto questo modificatore mentre QuickLoot è aperto, poi premi un tasto azione",QuickLootを開いている間この修飾キーを押し、次にアクションキーを押します,QuickLoot이 열려 있을 때 이 보조 키를 누른 상태로 동작 키를 누르세요,"Przytrzymaj ten modyfikator, gdy QuickLoot jest otwarte, potem naciśnij klawisz akcji",Segure este modificador enquanto o QuickLoot estiver aberto e pressione uma tecla de ação,"Удерживайте этот модификатор при открытом QuickLoot, затем нажмите клавишу действия",QuickLoot açıkken bu değiştiriciyi basılı tutup eylem tuşuna bas,QuickLoot 打开时按住此修饰键，然后按动作键,QuickLoot 開啟時按住此輔助鍵，然後按動作鍵
qlUiHintModifier,UI,Label,,,Hold,Halten,Mantener,Maintenir,Tieni,長押し,누르기,Przytrzymaj,Segurar,Удерживать,Basılı tut,按住,按住
qlSettingsCategoryModifier,UI,Menu,,,Modifier,Modifikator,Modificador,Modificateur,Modificatore,修飾キー,보조 키,Modyfikator,Modificador,Модификатор,Değiştirici,修饰键,輔助鍵
qlSettingsCategoryModifierTooltip,UI,Menu,,,Pick the shared QuickLoot modifier key. Action rows below should be plain keys,Gemeinsame QuickLoot-Modifikatortaste wählen. Die Aktionszeilen unten sollten einfache Tasten sein,Elige la tecla modificadora compartida de QuickLoot. Las acciones de abajo deben ser teclas simples,Choisissez le modificateur partagé de QuickLoot. Les actions ci-dessous doivent être des touches simples,Scegli il modificatore condiviso di QuickLoot. Le azioni sotto devono essere tasti semplici,共有QuickLoot修飾キーを選択。下のアクション行は単独キーにしてください,공유 QuickLoot 보조 키를 선택하세요. 아래 동작 행은 단일 키여야 합니다,Wybierz wspólny modyfikator QuickLoot. Wiersze akcji poniżej powinny być zwykłymi klawiszami,Escolha o modificador compartilhado do QuickLoot. As ações abaixo devem ser teclas simples,Выберите общий модификатор QuickLoot. Действия ниже должны быть обычными клавишами,Paylaşılan QuickLoot değiştirici tuşunu seç. Alttaki eylemler sadece tek tuş olmalı,选择共享的 QuickLoot 修饰键。下面的动作行应为单独按键,選擇共用的 QuickLoot 輔助鍵。下方動作列應為單一按鍵
qlSettingsCategoryActionKeys,UI,Menu,,,Action Keys,Aktionstasten,Teclas de acción,Touches d’action,Tasti azione,アクションキー,동작 키,Klawisze akcji,Teclas de ação,Клавиши действий,Eylem Tuşları,动作按键,動作按鍵
qlSettingsCategoryActionKeysTooltip,UI,Menu,,,Bind only the action key here. QuickLoot combines it with the selected modifier,Hier nur die Aktionstaste belegen. QuickLoot kombiniert sie mit dem gewählten Modifikator,Asigna aquí solo la tecla de acción. QuickLoot la combina con el modificador seleccionado,Attribuez ici uniquement la touche d’action. QuickLoot la combine avec le modificateur choisi,Associa qui solo il tasto azione. QuickLoot lo combina con il modificatore selezionato,ここではアクションキーのみ割り当てます。QuickLootが選択した修飾キーと組み合わせます,여기에는 동작 키만 지정하세요. QuickLoot이 선택한 보조 키와 조합합니다,Przypisz tutaj tylko klawisz akcji. QuickLoot połączy go z wybranym modyfikatorem,Defina aqui apenas a tecla de ação. QuickLoot combina com o modificador selecionado,Назначьте здесь только клавишу действия. QuickLoot объединит её с выбранным модификатором,Burada sadece eylem tuşunu ata. QuickLoot seçilen değiştiriciyle birleştirir,这里只绑定动作键。QuickLoot 会将其与所选修饰键组合,这里只綁定動作鍵。QuickLoot 會將其與所選輔助鍵組合
qlSettingsCategoryCompatibilityStatus,UI,Menu,,,Status,Status,Estado,État,Stato,状態,상태,Status,Status,Статус,Durum,状态,狀態
qlSettingsCategoryCompatibilityStatusTooltip,UI,Menu,,,Read-only detected mod and QuickLoot integration status,Schreibgeschützter Status erkannter Mods und QuickLoot-Integration,Estado de mods detectados e integración de QuickLoot en solo lectura,État en lecture seule des mods détectés et de l’intégration QuickLoot,Stato in sola lettura dei mod rilevati e dell’integrazione QuickLoot,検出されたModとQuickLoot統合状態を読み取り専用で表示,감지된 모드 및 QuickLoot 통합 상태를 읽기 전용으로 표시,Tylko do odczytu: stan wykrytych modów i integracji QuickLoot,Status somente leitura dos mods detectados e da integração QuickLoot,Статус найденных модов и интеграции QuickLoot только для чтения,Algılanan mod ve QuickLoot entegrasyon durumunu salt okunur gösterir,只读显示检测到的模组和 QuickLoot 集成状态,唯讀顯示偵測到的模組與 QuickLoot 整合狀態
qlUiStatusInventoryFull,UI,Menu,,,Inventory full,Inventar voll,Inventario lleno,Inventaire plein,Inventario pieno,インベントリ満杯,인벤토리 가득 참,Ekwipunek pełny,Inventário cheio,Инвентарь полон,Envanter dolu,背包已满,背包已滿
qlUiStatusMovedPartial,UI,Menu,,,Moved {0}/{1},{0}/{1} verschoben,Movido {0}/{1},Déplacé {0}/{1},Spostato {0}/{1},{0}/{1} 移動,{0}/{1} 이동됨,Przeniesiono {0}/{1},Movido {0}/{1},Перемещено {0}/{1},{0}/{1} taşındı,已移动 {0}/{1},已移動 {0}/{1}
