Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
packwisely_medical_item_missing,ui,UI,,x,The selected medical item is no longer available.,,Der gewählte medizinische Gegenstand ist nicht mehr verfügbar.,El objeto médico seleccionado ya no está disponible.,L’objet médical sélectionné n’est plus disponible.,L’oggetto medico selezionato non è più disponibile.,選択した医療アイテムはもう利用できない。,선택한 의료 아이템을 더 이상 사용할 수 없습니다.,Wybrany przedmiot medyczny nie jest już dostępny.,O item médico selecionado não está mais disponível.,Выбранный медицинский предмет больше недоступен.,Seçilen tıbbi eşya artık mevcut değil.,所选医疗物品已不可用。,所選醫療物品已不可用。
packwisely_medical_category_injectors,ui,UI,,x,Injectors & Steroids,,Injektoren & Steroide,Inyectores y esteroides,Injecteurs et stéroïdes,Iniettori e steroidi,注射器とステロイド,주사기와 스테로이드,Iniektory i sterydy,Injetores e esteroides,Инъекторы и стероиды,Enjektörler ve Steroidler,注射剂与类固醇,注射劑與類固醇
packwisely_medical_category_candy_buffs,ui,UI,,x,Candy Buffs,,Bonbon-Buffs,Caramelos de mejora,Bonbons bonus,Caramelle potenzianti,キャンディ強化,사탕 버프,Cukierki wzmacniające,Doces de bônus,Конфеты-усилители,Şeker Güçlendirmeleri,糖果增益,糖果增益
packwisely_medical_category_utility_buffs,ui,UI,,x,Utility Buffs,,Nützliche Buffs,Mejoras de utilidad,Bonus utilitaires,Potenziamenti utilità,ユーティリティ強化,유틸리티 버프,Wzmocnienia użytkowe,Bônus utilitários,Утилитарные усилители,Yardımcı Güçlendirmeler,实用增益,實用增益
packwisely_medical_category_death_recovery,ui,UI,,x,Death Recovery,,Todesmalus-Erholung,Recuperación de muerte,Récupération après mort,Recupero dalla morte,死亡ペナルティ回復,사망 패널티 회복,Odzyskanie po śmierci,Recuperação de morte,Восстановление после смерти,Ölüm Cezası Onarımı,死亡惩罚恢复,死亡懲罰恢復
packwisely_medical_category_treatment,ui,UI,,x,Treatment,,Behandlung,Tratamiento,Traitement,Trattamento,治療,치료,Leczenie,Tratamento,Лечение,Tedavi,治疗,治療
packwisely_medical_category_other_medical,ui,UI,,x,Other Medical,,Sonstiges Sanitätsmaterial,Otros médicos,Autre médical,Altro medico,その他医療品,기타 의료,Inne medyczne,Outros médicos,Прочее медицинское,Diğer Tıbbi,其他医疗,其他醫療
packwisely_medical_back,ui,UI,,x,Back,,Zurück,Atrás,Retour,Indietro,戻る,뒤로,Wstecz,Voltar,Назад,Geri,返回,返回

# ==================================================================================================
# MEDICAL EFFECT LABELS
# Compact effect fragments used by medical hover text and external medical compatibility XML.
# Do not remove apparently unused effect keys lightly because compat files may reference them.
# ==================================================================================================
packwisely_eff_stops_bleeding,ui,UI,,x,Stops bleeding,,Stoppt Blutung,Detiene sangrado,Arrête le saignement,Ferma sanguinamento,出血を止める,출혈 멈춤,Tamuje krwawienie,Estanca sangramento,Останавливает кровотечение,Kanamayı durdurur,止血,止血
packwisely_eff_treats_abrasion_x3,ui,UI,,x,Treats abrasion x3,,Behandelt Schürfwunde ×3,Trata abrasión ×3,Soigne abrasion ×3,Cura abrasione ×3,擦り傷治療×3,찰과상 치료 ×3,Leczy otarcie ×3,Trata escoriação ×3,Лечит ссадины ×3,Sıyrığı ×3 tedavi eder,治疗擦伤×3,治療擦傷×3
packwisely_eff_treats_abrasion_x4,ui,UI,,x,Treats abrasion x4,,Behandelt Schürfwunde ×4,Trata abrasión ×4,Soigne abrasion ×4,Cura abrasione ×4,擦り傷治療×4,찰과상 치료 ×4,Leczy otarcie ×4,Trata escoriação ×4,Лечит ссадины ×4,Sıyrığı ×4 tedavi eder,治疗擦伤×4,治療擦傷×4
packwisely_eff_treats_abrasion_x5,ui,UI,,x,Treats abrasion x5,,Behandelt Schürfwunde ×5,Trata abrasión ×5,Soigne abrasion ×5,Cura abrasione ×5,擦り傷治療×5,찰과상 치료 ×5,Leczy otarcie ×5,Trata escoriação ×5,Лечит ссадины ×5,Sıyrığı ×5 tedavi eder,治疗擦伤×5,治療擦傷×5
packwisely_eff_stops_bleed_laceration,ui,UI,,x,Stops bleed/laceration,,Stoppt Blutung/Schnittwunde,Detiene sangrado/laceración,Arrête saignement/lacération,Ferma sanguinamento/lacerazione,出血/裂傷を止める,출혈/열상 멈춤,Tamuje krwawienie/rany cięte,Estanca sangramento/laceração,Останавливает кровотечение/рваные раны,Kanama/kesiği durdurur,止血/处理裂伤,止血/處理裂傷
packwisely_eff_fixes_sprains,ui,UI,,x,Fixes sprains,,Heilt Verstauchungen,Cura esguinces,Soigne les entorses,Cura distorsioni,捻挫を治す,염좌 치료,Leczy skręcenia,Cura torções,Лечит вывихи,Burkulmaları iyileştirir,治疗扭伤,治療扭傷
packwisely_eff_splints_broken_limbs,ui,UI,,x,Splints broken limbs,,Schient gebrochene Gliedmaßen,Entablilla extremidades rotas,Attelle les membres cassés,Stecca arti rotti,骨折した四肢を添え木固定,골절 부목 고정,Unieruchamia złamane kończyny,Imobiliza membros quebrados,Накладывает шину на переломы,Kırık uzuvları ateller,为骨折肢体上夹板,為骨折肢體上夾板
packwisely_eff_casts_broken_limbs,ui,UI,,x,Casts broken limbs,,Gipst gebrochene Gliedmaßen,Enyesa extremidades rotas,Plâtre les membres cassés,Ingepsa arti rotti,骨折した四肢をギプス固定,골절 깁스 고정,Zakłada gips na złamane kończyny,Engessa membros quebrados,Накладывает гипс на переломы,Kırık uzuvları alçıya alır,为骨折肢体打石膏,為骨折肢體打石膏
packwisely_eff_treats_fatigue,ui,UI,,x,Treats fatigue,,Behandelt Erschöpfung,Trata fatiga,Soigne la fatigue,Cura affaticamento,疲労を治療,피로 치료,Leczy zmęczenie,Trata fadiga,Лечит усталость,Yorgunluğu giderir,治疗疲劳,治療疲勞
packwisely_eff_disease_resist,ui,UI,,x,Disease resist,,Krankheitsresistenz,Resistencia a enfermedad,Résistance aux maladies,Resistenza alle malattie,病気耐性,질병 저항,Odporność na choroby,Resistência a doenças,Сопротивление болезням,Hastalık direnci,疾病抗性,疾病抗性
packwisely_eff_treats_concussion,ui,UI,,x,Treats concussion,,Behandelt Gehirnerschütterung,Trata conmoción,Soigne la commotion,Cura commozione cerebrale,脳震盪を治療,뇌진탕 치료,Leczy wstrząśnienie,Trata concussão,Лечит сотрясение,Beyin sarsıntısını tedavi eder,治疗脑震荡,治療腦震盪
packwisely_eff_run_speed_10,ui,UI,,x,Run speed 10%,,Lauftempo 10 %,Velocidad al correr 10 %,Vitesse de course 10 %,Velocità corsa 10%,走行速度10%,달리기 속도 10%,Szybkość biegu 10%,Velocidade de corrida 10%,Скорость бега 10%,Koşu hızı %10,奔跑速度10%,奔跑速度10%
packwisely_eff_run_speed_20,ui,UI,,x,Run speed 20%,,Lauftempo 20 %,Velocidad al correr 20 %,Vitesse de course 20 %,Velocità corsa 20%,走行速度20%,달리기 속도 20%,Szybkość biegu 20%,Velocidade de corrida 20%,Скорость бега 20%,Koşu hızı %20,奔跑速度20%,奔跑速度20%
packwisely_eff_attack_30,ui,UI,,x,Attack 30%,,Angriff 30 %,Ataque 30 %,Attaque 30 %,Attacco 30%,攻撃30%,공격 30%,Atak 30%,Ataque 30%,Атака 30%,Saldırı %30,攻击30%,攻擊30%
packwisely_eff_reload_35,ui,UI,,x,Reload 35%,,Nachladen 35 %,Recarga 35 %,Rechargement 35 %,Ricarica 35%,リロード35%,재장전 35%,Przeładowanie 35%,Recarga 35%,Перезарядка 35%,Yeniden doldurma %35,装填35%,裝填35%
packwisely_eff_move_broken_limbs,ui,UI,,x,Move on broken limbs,,Bewegung mit gebrochenen Gliedmaßen,Moverse con miembros rotos,Déplacement avec membres cassés,Movimento con arti rotti,骨折していても移動,골절 상태 이동,Ruch ze złamanymi kończynami,Mover com membros quebrados,Движение с переломами,Kırık uzuvla hareket,骨折时移动,骨折時移動
packwisely_eff_ranged_damage_50,ui,UI,,x,Ranged damage 50%,,Fernkampfschaden 50 %,Daño a distancia 50 %,Dégâts à distance 50 %,Danno a distanza 50%,遠距離ダメージ50%,원거리 피해 50%,Obrażenia dystansowe 50%,Dano à distância 50%,Дальний урон 50%,Menzilli hasar %50,远程伤害50%,遠程傷害50%
packwisely_eff_ranged_damage_100,ui,UI,,x,Ranged damage 100%,,Fernkampfschaden 100 %,Daño a distancia 100 %,Dégâts à distance 100 %,Danno a distanza 100%,遠距離ダメージ100%,원거리 피해 100%,Obrażenia dystansowe 100%,Dano à distância 100%,Дальний урон 100%,Menzilli hasar %100,远程伤害100%,遠程傷害100%
packwisely_eff_damage_resist_25,ui,UI,,x,Damage resist 25%,,Schadensresistenz 25 %,Resistencia al daño 25 %,Résistance aux dégâts 25 %,Resistenza danni 25%,ダメージ耐性25%,피해 저항 25%,Odporność na obrażenia 25%,Resistência a dano 25%,Сопротивление урону 25%,Hasar direnci %25,伤害抗性25%,傷害抗性25%
packwisely_eff_damage_resist_40,ui,UI,,x,Damage resist 40%,,Schadensresistenz 40 %,Resistencia al daño 40 %,Résistance aux dégâts 40 %,Resistenza danni 40%,ダメージ耐性40%,피해 저항 40%,Odporność na obrażenia 40%,Resistência a dano 40%,Сопротивление урону 40%,Hasar direnci %40,伤害抗性40%,傷害抗性40%
packwisely_eff_damage_resist_50,ui,UI,,x,Damage resist 50%,,Schadensresistenz 50 %,Resistencia al daño 50 %,Résistance aux dégâts 50 %,Resistenza danni 50%,ダメージ耐性50%,피해 저항 50%,Odporność na obrażenia 50%,Resistência a dano 50%,Сопротивление урону 50%,Hasar direnci %50,伤害抗性50%,傷害抗性50%
packwisely_eff_explosive_damage_50,ui,UI,,x,Explosive damage 50%,,Explosionsschaden 50 %,Daño explosivo 50 %,Dégâts explosifs 50 %,Danno esplosivo 50%,爆発ダメージ50%,폭발 피해 50%,Obrażenia wybuchowe 50%,Dano explosivo 50%,Взрывной урон 50%,Patlayıcı hasarı %50,爆炸伤害50%,爆炸傷害50%
packwisely_eff_sneak_damage_50,ui,UI,,x,Sneak damage 50%,,Schleichschaden 50 %,Daño furtivo 50 %,Dégâts furtifs 50 %,Danno furtivo 50%,ステルスダメージ50%,은신 피해 50%,Obrażenia z ukrycia 50%,Dano furtivo 50%,Урон скрытности 50%,Gizli saldırı hasarı %50,潜行伤害50%,潛行傷害50%
packwisely_eff_loot_stage,ui,UI,,x,Loot bonus,,Beutebonus,Bonificación de botín,Bonus de butin,Bonus bottino,ルートボーナス,전리품 보너스,Premia łupu,Bônus de saque,Бонус добычи,Ganimet bonusu,战利品加成,戰利品加成
packwisely_eff_salvage_harvest_20,ui,UI,,x,Salvage harvest 20%,,Verwertungsertrag 20 %,Recursos de despiece 20 %,Rendement de récupération 20 %,Raccolta recupero 20%,解体収穫20%,분해 수확 20%,Zysk ze złomowania 20%,Coleta de sucata 20%,Добыча при разборе 20%,Söküm hasadı %20,拆解收获20%,拆解收穫20%
packwisely_eff_max_health_10,ui,UI,,x,Max HP 10,,Max. LP 10,Salud máx. 10,PV max 10,Salute max 10,最大HP10,최대 체력 10,Maks. zdrowie 10,Vida máx. 10,Макс. здоровье 10,Maks. can 10,最大生命10,最大生命10
packwisely_eff_crit_healing,ui,UI,,x,Critical healing,,Kritische Heilung,Curación crítica,Soins critiques,Cura critica,重傷治療,치명상 회복,Leczenie krytyczne,Cura crítica,Критическое лечение,Kritik iyileşme,重伤治疗,重傷治療
packwisely_eff_lockpick_success,ui,UI,,x,Lockpick success,,Schlossknacken-Erfolg,Éxito al ganzuar,Réussite crochetage,Successo scassinamento,ロックピック成功,자물쇠 따기 성공,Skuteczność otwierania zamków,Sucesso ao arrombar,Успех взлома замков,Kilit açma başarısı,开锁成功率,開鎖成功率
packwisely_eff_stun_baton_aoe,ui,UI,,x,Stun baton AoE,,Betäubungsstab-Fläche,Área de bastón aturdidor,Zone du bâton électrique,Area bastone stordente,スタンバトン範囲効果,스턴봉 범위 효과,Obszar pałki ogłuszającej,Área do bastão de choque,Область электродубинки,Sersemletici sopa alan etkisi,电击棍范围效果,電擊棍範圍效果
packwisely_eff_no_fall_damage,ui,UI,,x,No fall damage,,Kein Fallschaden,Sin daño por caída,Aucun dégât de chute,Nessun danno da caduta,落下ダメージなし,낙하 피해 없음,Brak obrażeń od upadku,Sem dano de queda,Нет урона от падения,Düşme hasarı yok,无坠落伤害,無墜落傷害
packwisely_eff_mining_harvest_20,ui,UI,,x,Mining harvest 20%,,Bergbauertrag 20 %,Recursos de minería 20 %,Rendement minier 20 %,Raccolta mineraria 20%,採掘収穫20%,채굴 수확 20%,Wydobycie 20%,Coleta de mineração 20%,Добыча при шахтёрстве 20%,Madencilik hasadı %20,采矿收获20%,採礦收穫20%
packwisely_eff_melee_damage_50,ui,UI,,x,Melee damage 50%,,Nahkampfschaden 50 %,Daño cuerpo a cuerpo 50 %,Dégâts de mêlée 50 %,Danno corpo a corpo 50%,近接ダメージ50%,근접 피해 50%,Obrażenia wręcz 50%,Dano corpo a corpo 50%,Урон в ближнем бою 50%,Yakın dövüş hasarı %50,近战伤害50%,近戰傷害50%
packwisely_eff_melee_damage_200,ui,UI,,x,Melee damage 200%,,Nahkampfschaden 200 %,Daño cuerpo a cuerpo 200 %,Dégâts de mêlée 200 %,Danno corpo a corpo 200%,近接ダメージ200%,근접 피해 200%,Obrażenia wręcz 200%,Dano corpo a corpo 200%,Урон в ближнем бою 200%,Yakın dövüş hasarı %200,近战伤害200%,近戰傷害200%
packwisely_eff_barter_prices_10,ui,UI,,x,Barter prices 10%,,Tauschpreise 10 %,Precios de trueque 10 %,Prix de troc 10 %,Prezzi baratto 10%,物々交換価格10%,거래 가격 10%,Ceny handlu 10%,Preços de troca 10%,Цены торговли 10%,Takas fiyatları %10,交易价格10%,交易價格10%
packwisely_eff_painkiller_buff,ui,UI,,x,Painkiller buff,,Schmerzmittel-Effekt,Efecto de analgésico,Effet antidouleur,Effetto antidolorifico,鎮痛剤効果,진통제 효과,Efekt środka przeciwbólowego,Efeito analgésico,Эффект обезболивающего,Ağrı kesici etkisi,止痛药效果,止痛藥效果
packwisely_eff_death_hp_10,ui,UI,,x,Death HP 10,,Todesmalus-LP 10,Salud de muerte 10,PV de mort 10,Salute morte 10,死亡ペナルティHP10,사망 체력 10,Zdrowie po śmierci 10,Vida de morte 10,Здоровье после смерти 10,Ölüm cezası canı 10,死亡生命10,死亡生命10
packwisely_eff_death_hp_25,ui,UI,,x,Death HP 25,,Todesmalus-LP 25,Salud de muerte 25,PV de mort 25,Salute morte 25,死亡ペナルティHP25,사망 체력 25,Zdrowie po śmierci 25,Vida de morte 25,Здоровье после смерти 25,Ölüm cezası canı 25,死亡生命25,死亡生命25
packwisely_eff_regen_20,ui,UI,,x,Regen 20/s,,Regeneration 20/s,Regeneración 20/s,Régénération 20/s,Rigenerazione 20/s,再生20/秒,재생 20/초,Regeneracja 20/s,Regeneração 20/s,Регенерация 20/с,Rejenerasyon 20/sn,恢复20/秒,恢復20/秒
packwisely_eff_regen_25,ui,UI,,x,Regen 2.5/s,,"Regeneration 2,5/s","Regeneración 2,5/s","Régénération 2,5/s","Rigenerazione 2,5/s",再生2.5/秒,재생 2.5/초,"Regeneracja 2,5/s","Regeneração 2,5/s","Регенерация 2,5/с","Rejenerasyon 2,5/sn",恢复2.5/秒,恢復2.5/秒
packwisely_eff_bleed_immune,ui,UI,,x,Bleed immune,,Blutungsimmunität,Inmune a sangrado,Immunité au saignement,Immune al sanguinamento,出血無効,출혈 면역,Odporność na krwawienie,Imune a sangramento,Иммунитет к кровотечению,Kanamaya bağışıklık,流血免疫,流血免疫
packwisely_eff_max_hp_25,ui,UI,,x,Max HP 25%,,Max. LP 25 %,Salud máx. 25 %,PV max 25 %,Salute max 25%,最大HP25%,최대 체력 25%,Maks. zdrowie 25%,Vida máx. 25%,Макс. здоровье 25%,Maks. can %25,最大生命25%,最大生命25%
packwisely_eff_stamina_use_25,ui,UI,,x,Stamina use 25%,,Ausdauerverbrauch 25 %,Uso de aguante 25 %,Consommation d’endurance 25 %,Consumo vigore 25%,スタミナ消費25%,스태미나 소모 25%,Zużycie kondycji 25%,Uso de estamina 25%,Расход выносливости 25%,Dayanıklılık tüketimi %25,耐力消耗25%,耐力消耗25%
packwisely_eff_stamina_100,ui,UI,,x,Stamina 100%,,Ausdauer 100 %,Aguante 100 %,Endurance 100 %,Vigore 100%,スタミナ100%,스태미나 100%,Kondycja 100%,Estamina 100%,Выносливость 100%,Dayanıklılık %100,耐力100%,耐力100%
packwisely_eff_recoil_30,ui,UI,,x,Recoil 30%,,Rückstoß 30 %,Retroceso 30 %,Recul 30 %,Rinculo 30%,反動30%,반동 30%,Odrzut 30%,Recuo 30%,Отдача 30%,Geri tepme %30,后坐力30%,後座力30%
packwisely_eff_stamina_eff_15,ui,UI,,x,Stamina efficiency 15%,,Ausdauereffizienz 15 %,Eficiencia de aguante 15 %,Efficacité d’endurance 15 %,Efficienza vigore 15%,スタミナ効率15%,스태미나 효율 15%,Wydajność kondycji 15%,Eficiência de estamina 15%,Эффективность выносливости 15%,Dayanıklılık verimi %15,耐力效率15%,耐力效率15%
packwisely_eff_injury_stun_resist,ui,UI,,x,Injury/stun resist,,Verletzungs-/Betäubungsresistenz,Resistencia a lesiones/aturdimiento,Résistance blessure/étourdissement,Resistenza ferite/stordimento,負傷/スタン耐性,부상/기절 저항,Odporność na urazy/ogłuszenie,Resistência a ferimento/atordoamento,Сопротивление травмам/оглушению,Yaralanma/sersemleme direnci,伤害/眩晕抗性,傷害/暈眩抗性
packwisely_eff_bad_mix_risk,ui,UI,,x,Bad mix risk,,Risiko schlechter Mischung,Riesgo de mala mezcla,Risque de mauvais mélange,Rischio miscela nociva,悪い混合リスク,나쁜 혼합 위험,Ryzyko złej mieszanki,Risco de mistura ruim,Риск плохой смеси,Kötü karışım riski,不良混合风险,不良混合風險
packwisely_eff_deadly_mix_risk,ui,UI,,x,Deadly mix risk,,Risiko tödlicher Mischung,Riesgo de mezcla mortal,Risque de mélange mortel,Rischio miscela letale,致死的混合リスク,치명적 혼합 위험,Ryzyko śmiertelnej mieszanki,Risco de mistura mortal,Риск смертельной смеси,Ölümcül karışım riski,致命混合风险,致命混合風險
packwisely_eff_strong_heal,ui,UI,,x,Strong heal,,Starke Heilung,Curación fuerte,Soin puissant,Cura potente,強力回復,강력한 회복,Silne leczenie,Cura forte,Сильное лечение,Güçlü iyileştirme,强力治疗,強力治療
packwisely_eff_treats_limbs,ui,UI,,x,Treats limbs,,Behandelt Gliedmaßen,Trata extremidades,Soigne les membres,Cura arti,四肢を治療,사지 치료,Leczy kończyny,Trata membros,Лечит конечности,Uzuvları tedavi eder,治疗肢体,治療肢體
packwisely_eff_death_recovery,ui,UI,,x,Restores death HP,,Stellt Todesmalus-LP wieder her,Restaura salud de muerte,Restaure les PV de mort,Ripristina salute da morte,死亡ペナルティHPを回復,사망 체력 회복,Przywraca zdrowie po śmierci,Restaura vida de morte,Восстанавливает здоровье после смерти,Ölüm cezası canını onarır,恢复死亡生命,恢復死亡生命
packwisely_eff_stim_buff,ui,UI,,x,Stim buff,,Stim-Effekt,Efecto de estimulante,Effet de stimulant,Effetto stimolante,刺激剤効果,자극제 효과,Efekt stymulantu,Efeito estimulante,Эффект стимулятора,Uyarıcı etkisi,兴奋剂效果,興奮劑效果
packwisely_eff_buff_item,ui,UI,,x,Buff item,,Buff-Gegenstand,Objeto de mejora,Objet bonus,Oggetto potenziamento,強化アイテム,버프 아이템,Przedmiot wzmacniający,Item de bônus,Предмет-усилитель,Güçlendirme eşyası,增益物品,增益物品
packwisely_eff_manual_use,ui,UI,,x,Manual use,,Manuelle Nutzung,Uso manual,Usage manuel,Uso manuale,手動使用,수동 사용,Użycie ręczne,Uso manual,Ручное применение,Elle kullanım,手动使用,手動使用
packwisely_eff_usable_item,ui,UI,,x,Usable item,,Nutzbarer Gegenstand,Objeto usable,Objet utilisable,Oggetto utilizzabile,使用可能アイテム,사용 가능 아이템,Przedmiot do użycia,Item utilizável,Используемый предмет,Kullanılabilir eşya,可用物品,可用物品
packwisely_eff_modded_medical_item,ui,UI,,x,Modded medical item,,Medizinischer Mod-Gegenstand,Objeto médico de mod,Objet médical moddé,Oggetto medico moddato,Mod追加の医療アイテム,모드 의료 아이템,Modowany przedmiot medyczny,Item médico de mod,Медицинский предмет из мода,Modlu tıbbi eşya,模组医疗物品,模組醫療物品
packwisely_eff_manual_only,ui,UI,,x,Manual use only,,Nur manuell,Solo uso manual,Usage manuel seulement,Solo uso manuale,手動使用のみ,수동 사용 전용,Tylko ręcznie,Somente uso manual,Только вручную,Sadece elle kullanım,仅限手动使用,僅限手動使用
packwisely_eff_hp,ui,UI,,x,Health,,Gesundheit,Salud,Santé,Salute,体力,체력,Zdrowie,Vida,Здоровье,Can,生命值,生命值
packwisely_eff_hp_3,ui,UI,,x,Health 3,,Gesundheit 3,Salud 3,Santé 3,Salute 3,体力3,체력 3,Zdrowie 3,Vida 3,Здоровье 3,Can 3,生命值 3,生命值 3
packwisely_eff_hp_30,ui,UI,,x,Health 30,,Gesundheit 30,Salud 30,Santé 30,Salute 30,体力30,체력 30,Zdrowie 30,Vida 30,Здоровье 30,Can 30,生命值 30,生命值 30
packwisely_eff_hp_40,ui,UI,,x,Health 40,,Gesundheit 40,Salud 40,Santé 40,Salute 40,体力40,체력 40,Zdrowie 40,Vida 40,Здоровье 40,Can 40,生命值 40,生命值 40
packwisely_eff_hp_60,ui,UI,,x,Health 60,,Gesundheit 60,Salud 60,Santé 60,Salute 60,体力60,체력 60,Zdrowie 60,Vida 60,Здоровье 60,Can 60,生命值 60,生命值 60
packwisely_eff_hp_100,ui,UI,,x,Health 100,,Gesundheit 100,Salud 100,Santé 100,Salute 100,体力100,체력 100,Zdrowie 100,Vida 100,Здоровье 100,Can 100,生命值 100,生命值 100
packwisely_eff_hp_150,ui,UI,,x,Health 150,,Gesundheit 150,Salud 150,Santé 150,Salute 150,体力150,체력 150,Zdrowie 150,Vida 150,Здоровье 150,Can 150,生命值 150,生命值 150
packwisely_eff_hp_180,ui,UI,,x,Health 180,,Gesundheit 180,Salud 180,Santé 180,Salute 180,体力180,체력 180,Zdrowie 180,Vida 180,Здоровье 180,Can 180,生命值 180,生命值 180
packwisely_eff_water,ui,UI,,x,Water,,Wasser,Agua,Eau,Acqua,水分,수분,Woda,Água,Вода,Su,水分,水分
packwisely_eff_water_20,ui,UI,,x,Water 20,,Wasser 20,Agua 20,Eau 20,Acqua 20,水分20,수분 20,Woda 20,Água 20,Вода 20,Su 20,水分 20,水分 20
packwisely_eff_water_30,ui,UI,,x,Water 30,,Wasser 30,Agua 30,Eau 30,Acqua 30,水分30,수분 30,Woda 30,Água 30,Вода 30,Su 30,水分 30,水分 30
packwisely_eff_water_40,ui,UI,,x,Water 40,,Wasser 40,Agua 40,Eau 40,Acqua 40,水分40,수분 40,Woda 40,Água 40,Вода 40,Su 40,水分 40,水分 40
packwisely_eff_water_50,ui,UI,,x,Water 50,,Wasser 50,Agua 50,Eau 50,Acqua 50,水分50,수분 50,Woda 50,Água 50,Вода 50,Su 50,水分 50,水分 50
packwisely_eff_food_5,ui,UI,,x,Food 5,,Nahrung 5,Comida 5,Nourriture 5,Cibo 5,食料5,음식 5,Jedzenie 5,Comida 5,Еда 5,Yemek 5,食物 5,食物 5
packwisely_eff_food_8,ui,UI,,x,Food 8,,Nahrung 8,Comida 8,Nourriture 8,Cibo 8,食料8,음식 8,Jedzenie 8,Comida 8,Еда 8,Yemek 8,食物 8,食物 8
packwisely_eff_infection_5,ui,UI,,x,Infection 5%,,Infektion 5%,Infección 5%,Infection 5 %,Infezione 5%,感染5%,감염 5%,Infekcja 5%,Infecção 5%,Инфекция 5%,Enfeksiyon %5,感染 5%,感染 5%
packwisely_eff_infection_10,ui,UI,,x,Infection 10%,,Infektion 10%,Infección 10%,Infection 10 %,Infezione 10%,感染10%,감염 10%,Infekcja 10%,Infecção 10%,Инфекция 10%,Enfeksiyon %10,感染 10%,感染 10%
packwisely_eff_infection_25,ui,UI,,x,Infection 25%,,Infektion 25%,Infección 25%,Infection 25 %,Infezione 25%,感染25%,감염 25%,Infekcja 25%,Infecção 25%,Инфекция 25%,Enfeksiyon %25,感染 25%,感染 25%
packwisely_eff_carry,ui,UI,,x,Carry capacity,,Traglast,Capacidad de carga,Capacité de port,Capacità di carico,積載量,소지 중량,Udźwig,Carga máxima,Переносимый вес,Taşıma kapasitesi,负重能力,負重能力
packwisely_eff_carry_50,ui,UI,,x,Carry capacity 50,,Traglast 50,Carga 50,Capacité de port 50,Carico 50,積載量50,소지 중량 50,Udźwig 50,Carga 50,Переносимый вес 50,Taşıma kapasitesi 50,负重能力 50,負重能力 50
packwisely_eff_carry_105,ui,UI,,x,Carry capacity 105,,Traglast 105,Carga 105,Capacité de port 105,Carico 105,積載量105,소지 중량 105,Udźwig 105,Carga 105,Переносимый вес 105,Taşıma kapasitesi 105,负重能力 105,負重能力 105

# ==================================================================================================
# GEARS SETTINGS GENERAL AND INTERFACE
# Top level settings labels for global toggles visual options logging and interface controls.
# These keys are read from ModSettings.xml by Gears.
# ==================================================================================================
packwisely_settings_general,ui,UI,,x,General,,Allgemein,Opciones generales,Général,Generale,一般,일반,Ogólne,Geral,Общее,Genel,常规,一般
packwisely_settings_general_tt,ui,UI,,x,Enable or disable Packwisely systems for this world.,,Packwisely-Systeme für diese Welt ein- oder ausschalten.,Activa o desactiva los sistemas de Packwisely para este mundo.,Active ou désactive les systèmes Packwisely pour ce monde.,Attiva o disattiva i sistemi Packwisely per questo mondo.,このワールドでPackwiselyの各システムを有効または無効にする。,이 월드에서 Packwisely 시스템을 켜거나 끕니다.,Włącza lub wyłącza systemy Packwisely w tym świecie.,Ative ou desative os sistemas do Packwisely neste mundo.,Включение и отключение систем Packwisely в этом мире.,Bu dünya için Packwisely sistemlerini aç veya kapat.,启用或禁用此世界中的 Packwisely 系统。,啟用或停用此世界中的 Packwisely 系統。
packwisely_settings_interface,ui,UI,,x,Interface,,Oberfläche,Interfaz,Interface,Interfaccia,インターフェース,인터페이스,Interfejs,Interface,Интерфейс,Arayüz,界面,介面
packwisely_settings_interface_tt,ui,UI,,x,Visual options for Packwisely UI elements.,,Visuelle Optionen für Packwisely-UI-Elemente.,Opciones visuales para elementos de interfaz de Packwisely.,Options visuelles pour les éléments d’interface Packwisely.,Opzioni visive per gli elementi dell’interfaccia Packwisely.,Packwisely UI要素の表示オプション。,Packwisely UI 요소의 시각 옵션입니다.,Opcje wizualne elementów interfejsu Packwisely.,Opções visuais para elementos da interface do Packwisely.,Визуальные параметры элементов интерфейса Packwisely.,Packwisely arayüz öğeleri için görsel seçenekler.,Packwisely 界面元素的视觉选项。,Packwisely 介面元素的視覺選項。
packwisely_setting_enable_ammo,ui,UI,,x,Enable Ammo Pouch,,Munitionstasche aktivieren,Activar bolsa de munición,Activer la poche à munitions,Abilita tasca munizioni,弾薬ポーチを有効化,탄약 파우치 사용,Włącz ładownicę,Ativar bolsa de munição,Включить подсумок боеприпасов,Cephane Cebini Aç,启用弹药包,啟用彈藥包
